Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"ДИАЛИЗЕН ЦЕНТЪР ЕЛ МАСРИ ООД",Бургас,БУРГАС,ГР.БУРГАС,ж.к. Лазур бл. 158,Д-Р РУМЯНА МАРИНОВА БАХЧЕВАНОВА,"056/812985,0887/903787"
"ДКЦ-2-Добрич ЕООД",Добрич,КАВАРНА,ГР.КАВАРНА,ул. Васил Левски №36,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-2-Добрич ЕООД",Добрич,БАЛЧИК,ГР.БАЛЧИК,ул. Д-р Златко Петков №1,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-2-Добрич ЕООД",Добрич,БАЛЧИК,С.ОБРОЧИЩЕ К.К.АЛБЕНА,к.к. Албена МЦ Медика-Албена,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-2-Добрич ЕООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,бул. 25-ти септември 68,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА, АНЕЛИЯ ГЕОРГИЕВА КОЛАРОВА-КИСЬОВА","602-257,600-854"
"ДКЦ-I-Добрич ЕООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,ул. Димитър Петков №3,"Д-Р БИСЕРКА АТАНАСОВА ПАЧОЛОВА-ЦЕНОВА, ВЕЛИНА ГЕОРГИЕВА КОМАРЕВА-ИВАНОВА, МАРИЯН ИВАНОВ АНАНИЕВ, ДИАНА ПЕТРОВА АРАБАДЖИЕВА-ДИМИТРОВА","601-474,0878711458,601-610,602-776"
"Диализен Център Диалхелп ЕООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,25-ти Септември 68,Д-Р ЕЛКА МИЛАНОВА ТОДОРОВА-КОЗАРОВА,058/600-117
"Диализен център Руриком ООД",Русе,РУСЕ,ГР.РУСЕ,ул. Славянска 2А ет.2,ИЛКО ЙОРДАНОВ МАРИНОВ,"0898484505,0878984505"
"КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД",Бургас,БУРГАС,ГР.БУРГАС,бул. Демокрация №86,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753"
"КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Стефан Стамболов №73,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753"
"КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Доц.д-р Константин Кънчев,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753"
"МБАЛ Проф. д-р Александър Герчев Етрополе ЕООД",София - област,ЕТРОПОЛЕ,ГР.ЕТРОПОЛЕ,ул. Бригадирска №1,"Д-Р ГАЛЯ ИЛИЕВА ВАСИЛЕВА, Д-Р ГЕОРГИ КРЪСТЕВ КАНЗОВ, Д-Р СНЕЖАНКА ВАСИЛЕВА ДОСЕВА-ТОДОРОВА, Д-Р ЦЕНО ПАВЛОВ ГЛОГОВ","0879605651,072063685"
"МБАЛ - Ботевград ЕООД",София - област,БОТЕВГРАД,ГР.БОТЕВГРАД,ул. Божко Божилов №1,"Д-Р ДИЛЯН ДОБРЕВ ТОМОВСКИ, МАРГАРИТА ТОДОРОВА СТОЕВА, Д-Р ФИЛИП ПЕТРОВ ФИЛЕВ, Д-Р КРАСИМИР ПАВЛОВ КУШЕВ, ПЛАМЕН КИРИЛОВ КИТАНОВ, ИВАН ДИМИТРОВ БАГЕЛЕЙСКИ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ","072369400,072369401"
"МБАЛ - Пирдоп АД",София - област,ПИРДОП,ГР.ПИРДОП,ул. Георги Бенковски №24,"Д-Р ЮЛИЯ ДИМИТРОВА ИЛИЕВА, СОФИ ВЛАДИМИРОВ ДИНЧЕВ, СВЕТОСЛАВ ГЕОРГИЕВ ЧЕРВЕНКОВ, Д-Р ИВАН ВАСИЛЕВ ДИНЕВ, ЛЮБОМИР КОНСТАНТИНОВ ВАСЕВ, ИРИНА РАШКОВА ПАВЛОВА, Г-ЖА ТАТЯНА СПАСОВА КОНЯРСКА, Д-Р ДЕСИСЛАВА ДИМИТРОВА ТОЛИНОВА, ДАНИЕЛА ПЕТРОВА МИРКОВСКА, Д-Р МАРГАРИТА ИВАНОВА ГЕТОВА","0878632701,0886610805,0878632715,07181/5631,0878632731,0878632768"
"МБАЛ - Самоков ЕООД",София - област,САМОКОВ,ГР.САМОКОВ,ул. Македония №49,"Д-Р КРАСИМИРА АРАНГЕЛОВА КОВАЧКА, Д-Р СВЕТЛА КИРИЛОВА СКЕЛИНА","072266413,072289266"
"МБАЛ - Скин Системс ООД",София - област,ПИРДОП,ГР.ПИРДОП,ул. Георги Бенковски 24,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771"
"МБАЛ - Скин Системс ООД",София - област,ЕЛИН ПЕЛИН,С.ДОГАНОВО,ул. Първа №32,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771"
"МБАЛ - Скин Системс ООД",София - област,ЕЛИН ПЕЛИН,ГР.ЕЛИН ПЕЛИН,ул. Здравец №15,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНOVA КРАХТОВА-НАСТЕВА","0888707040,0895125771"
"МБАЛ Авис Медика ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Коста Хаджипакев №7,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092"
"МБАЛ Авис Медика ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,парк Кайлъка местност Стражата,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092"
"МБАЛ Авис Медика ООД",Плевен,ПЛЕВЕН,С.ТУЧЕНИЦА,ул. Георги Бенковски №19,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092"
"МБАЛ-Д-р Георги Стоев-Шварц-Троян-ЕООД",Ловеч,ТРОЯН,ГР.ТРОЯН,ул. Радецки №30,"ПЕНКО СТАЙКОВ БАМБОВ, ТЕОДОРА ПЕТРОВА ВЪЛКОВСКА-КЮРЕКЧИЕВА","0670/62019,067062019,0888695372"
"МБАЛ-Елин Пелин ЕООД",София - област,ЕЛИН ПЕЛИН,ГР.ЕЛИН ПЕЛИН,ул. Здравец №15,"Д-Р МАЯ МЕТОДИЕВА МИКОВА-ЛУКАНОВА, МАРИЯНА АТАНАСОВА МАНОЛОВА","072560152,0887334797"
